,lat,long,tipo
109,-34.5990686946381,-58.3900852461919,bicicleta
110,-34.6079420843387,-58.4335557423123,bicicleta
111,-34.5908215710522,-58.3973665942558,bicicleta
112,-34.6072083607413,-58.3735943089618,bicicleta
113,-34.5970915061267,-58.3989776069524,bicicleta
114,-34.5964253233404,-58.3718427582335,bicicleta
115,-34.5970503839888,-58.3828365261875,bicicleta
116,-34.6364525618911,-58.4076323535048,bicicleta
117,-34.6046082700605,-58.3800268616491,bicicleta
118,-34.5840183523498,-58.3899174317068,bicicleta
119,-34.5755148415386,-58.4138802808954,bicicleta
120,-34.6018642749649,-58.3866898229969,bicicleta
121,-34.6163023644433,-58.3743709065845,bicicleta
122,-34.624256405674,-58.3621265468935,bicicleta
123,-34.5837350914111,-58.4010767000307,bicicleta
124,-34.601478388452,-58.3821223276689,bicicleta
125,-34.5981188170432,-58.4219822840508,bicicleta
126,-34.5885672796636,-58.4259969848864,bicicleta
127,-34.5752772343024,-58.4346865559259,bicicleta
128,-34.6176551651145,-58.3805612773066,bicicleta
129,-34.6016517462761,-58.3710747631044,bicicleta
130,-34.598600767028,-58.3730578249681,bicicleta
131,-34.5936513514892,-58.3941053769899,bicicleta
132,-34.5873127010488,-58.4157848455043,bicicleta
133,-34.5945479753404,-58.4138688164949,bicicleta
134,-34.5961011560411,-58.4046063371569,bicicleta
135,-34.5926865732537,-58.4260577169383,bicicleta
136,-34.6026681095854,-58.3833521880124,bicicleta
137,-34.6306829051355,-58.3718195016088,bicicleta
138,-34.6043905985334,-58.4345384582746,bicicleta
139,-34.6122985529236,-58.3989841159144,bicicleta
140,-34.6074092606059,-58.3950516151538,bicicleta
141,-34.6118911147008,-58.3639255346178,bicicleta
142,-34.6244360762016,-58.4303750265069,bicicleta
143,-34.6078924183071,-58.4263928399857,bicicleta
144,-34.6032697939405,-58.389369346005,bicicleta
145,-34.6023210423103,-58.3955111981761,bicicleta
146,-34.5948062041797,-58.4091757205161,bicicleta
147,-34.6212692444384,-58.4016779936729,bicicleta
148,-34.6198459659871,-58.431492640704,bicicleta
149,-34.5825477419399,-58.4056641848969,bicicleta
150,-34.6174492772101,-58.3975989943363,bicicleta
151,-34.6316457633862,-58.4053360222206,bicicleta
152,-34.6207991689907,-58.3944603859313,bicicleta
153,-34.5915112308137,-58.4496510028765,bicicleta
154,-34.6021129222324,-58.3781638652962,bicicleta
155,-34.6027820739053,-58.4116560821233,bicicleta
